Python: Episode: 26, Total Steps: 48829, Episode Steps: 415, Reward: 3.22, Alpha: 0.500, Speed: 134.58 steps/s
Python: Episode: 27, Total Steps: 49950, Episode Steps: 1121, Reward: 10.08, Alpha: 0.500, Speed: 133.96 steps/s
Python: Episode: 27, Total Steps: 50000, Episode Steps: 50, Reward: -0.99, Alpha: 0.500, Speed: 133.92 steps/s
Python: Saving models at step 50000...
Python: Episode: 28, Total Steps: 52563, Episode Steps: 2613, Reward: 24.67, Alpha: 0.500, Speed: 132.17 steps/s
Python: Episode: 29, Total Steps: 53166, Episode Steps: 603, Reward: -1.38, Alpha: 0.500, Speed: 131.77 steps/s
Python: Episode: 30, Total Steps: 53373, Episode Steps: 207, Reward: 0.46, Alpha: 0.500, Speed: 131.61 steps/s
Python: Episode: 31, Total Steps: 53890, Episode Steps: 517, Reward: -1.20, Alpha: 0.500, Speed: 131.32 steps/s
Python: Episode: 31, Total Steps: 55000, Episode Steps: 1110, Reward: 12.36, Alpha: 0.500, Speed: 130.78 steps/s
Python: Episode: 32, Total Steps: 56401, Episode Steps: 2511, Reward: 24.22, Alpha: 0.500, Speed: 130.19 steps/s
Python: Episode: 33, Total Steps: 58475, Episode Steps: 2074, Reward: 24.47, Alpha: 0.500, Speed: 129.37 steps/s
Python: Episode: 34, Total Steps: 59922, Episode Steps: 1447, Reward: 11.75, Alpha: 0.500, Speed: 128.86 steps/s
Python: Episode: 34, Total Steps: 60000, Episode Steps: 78, Reward: 1.98, Alpha: 0.500, Speed: 128.82 steps/s
Python: Episode: 35, Total Steps: 62081, Episode Steps: 2159, Reward: 20.03, Alpha: 0.500, Speed: 128.05 steps/s
Python: Episode: 36, Total Steps: 62666, Episode Steps: 585, Reward: 4.46, Alpha: 0.500, Speed: 127.87 steps/s
Python: Episode: 37, Total Steps: 64262, Episode Steps: 1596, Reward: 19.07, Alpha: 0.500, Speed: 127.50 steps/s
Python: Episode: 38, Total Steps: 64963, Episode Steps: 701, Reward: -0.95, Alpha: 0.500, Speed: 127.31 steps/s
Python: Episode: 38, Total Steps: 65000, Episode Steps: 37, Reward: 0.54, Alpha: 0.500, Speed: 127.28 steps/s
Python: Episode: 39, Total Steps: 66714, Episode Steps: 1751, Reward: 16.17, Alpha: 0.500, Speed: 126.71 steps/s
